object_id,display_template,title,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,creator,note,call_number,,
buch_033,record,Musenalmanach für 1796,,Spattered beige paper over boards; gilt edges; spine label. ,1796,Musenalmanach für 1796,Hamburg, C. E. Bohn,,,Calendar ; humor ; music ; proverbs ; poetry ; stories ; songs.,,"Voss, J. H.",Eschenberg; Gleim; Haug; Pfeffel; Voss; Fischer; Goethe; Overbeck; Klamer Schmidt,Die Liebesgötter auf dem Marrte – not apparent online,PT19.M967,,
buch_034,record,Musenalmanach für 1797,,Spattered gray paper over boards; red spattered edges; spine label.,1797,Musenalmanach für 1797,Hamburg, C. E. Bohn,,,Calendar ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Baggesen; v. Halem; Overbeck; v. Salis; Tiedge; Gleim; Haug; Pfeffel; Klamer Schmidt; Voss.,,PT19.M967,,
buch_035,record,Musenalmanach für 1798,,Yellow paper over boards; spine label. ,1798,Musenalmanach für 1798,Hamburg, C. E. Bohn,,,Calendar ; dance ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Baggesen; v. Halem; Karschin; Overbeck; Klamer Schmidt; Gleim; Haug; v. Nicolay; Pfeffel; Voss.,,PT19.M967,,
buch_036,record,Musenalmanach für 1800,,Spattered gray paper over boards; spine label. ,1800,Musenalmanach für 1800,Neu Strelitz. Ferdinand Albanus,,,,Poetry ; songs ; stories.,,"Voss, J. H.",Voss; Haug.,,PT19.M967,,
buch_037,record,Payne's Miniatur Almanac für 1846,,Black paste paper over boards; manucript spine label with year.,1846,Payne's Miniatur Almanac für 1846,London und Leipzig, Brain und Payne,,,Poetry ; essays ; stories.,,,"Böttger; Drobisch, Th.; Delius, N.",This collection is engraving heavy.,PT19.P3 v2,,
buch_038,record,Payne's Miniatur Almanac für 1847,,Black paste paper over boards; manucript spine label with year.,1847,Payne's Miniatur Almanac für 1847,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Poetry ; stories ; essays ; songs.,,,Böttger; Delius; ölckers; Drobisch; Dittmar,,PT19.P3 v3,,
buch_039,record,Payne's Miniatur Almanac für 1848,,Black paste paper over boards; manucript spine label with year.,1848,Payne's Miniatur Almanac für 1848,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Calendar ; poetry ; stories.,,,Drobisch; Meissner; Kauffer,Calendar has both Catholic & Prostestant dates,PT19.P3 v4,,
buch_040,record,Payne's Miniatur Almanac für 1849,,Black paste paper over boards; manucript spine label with year.,1849,Payne's Miniatur Almanac für 1849,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays.,,,Görling; Kauffer.,,PT19.P3 v5,,
buch_041,record,Payne's Miniatur Almanac für 1850,,Black paste paper over boards; manucript spine label with year.,1850,Payne's Miniatur Almanac für 1850,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories.,,,Görling; Kauffer.,,PT19.P3 v6,,
buch_042,record,Payne's Miniatur Almanac für 1851,,Black paste paper over boards; manucript spine label with year.,1851,Payne's Miniatur Almanac für 1851,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories ; novellas.,,,Görling; Kauffer; Scribano.,,PT19.P3 v7,,
buch_043,record,Payne's Miniatur Almanac für 1852,,Black paste paper over boards; manucript spine label with year.,1852,Payne's Miniatur Almanac für 1852,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar; poetry ; novellas ; stories ; fables.,,,"Görling, A.; Norden, M.; Hartmann J. E.; Pabst, J.; Frick, Ida; Boas, Eduard.",,PT19.P3 v8,,
buch_044,record,Payne's Miniatur Almanac für 1853,,Black paste paper over boards; manucript spine label with year.,1853,Payne's Miniatur Almanac für 1853,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; novellas ; stories.,,,"Görling, A.; v. Glümer, Clara; Frick, I.",,PT19.P3 v9,,
buch_045,record,Payne's Miniatur Almanac für 1854,,Black paste paper over boards; manucript spine label with year.,1854,Payne's Miniatur Almanac für 1854,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories.,,,"Görling, A; Rosenheyn; Kloberg; Hartmann.",,PT19.P3 v10,,
