call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.M967,record,,Spattered beige paper over boards; spine label. ,1784,Musenalmanach für 1784,Hamburg, C. E. Bohn,,,Music ; poetry ; songs ; stories.,,Voss und Gökingk,"Blumauer; Gleim; Klopstock; Pfeffel; Graf zu Stolberg; Gökingk; Jacobi; Kraut, A. J.; Reichard; Voss.",,,,,,,
PT19.M967,record,,Spattered gray paper over boards; gilt edges; spine label. ,1785,Musenalmanach für 1785,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; stories.,,Voss und Gökingk,Amarant; Fischer; Gökingk; Klopstock; Ramler; v. Döring; Gleim; Jacobi; Pfeffel; Voss ,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; spine label. ,1786,Musenalmanach für 1786,Hamburg, C. E. Bohn,,,Poetry ; stories ; musical scores.,,Voss und Gökingk,Blumauer; Gleim; v. Halem; Overbeck; Sander; Brückner; Gökingk; Klopstock; Pfeffel; Voss,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; gilt edges; spine label. ,1787,Musenalmanach für 1787,Hamburg, C. E. Bohn,,,Calendar ; astrology ; poetry ; stories ; musical scores.,,Voss und Gökingk,Blumhauer; Gleim; v. Halem; Mattison; Pfeffel; Voss; Engenschall; Gökingk; Kister; Overbeck; Ramler ,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; spine label. ,1788,Musenalmanach für 1788,Hamburg, C. E. Bohn,,,Calendar ; astrology ; poetry ; essays ; stories.,,Voss und Gökingk,Claudius; Klopstock; Overbeck; Sander; Voss; Gleim; v. Halem; Pfeffel; Klamer Schmidt,,,,,,,
PT19.M967,record,Former owner's stamp: illegible. ,Spattered beige paper over boards; red spattered edges; spine label. ,1789,Musenalmanach für 1789,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; Poetry ; songs ; stories.,,"Voss, J. H.",Blum; Gramberg; Kretschmann; Pfeffel; Tiege; Gleim; Hölty; Overbeck; Klamer Schmidt; Voss,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; gilt edges; spine label. ,1790,Musenalmanach für 1790,Hamburg, C. E. Bohn,,,Calendar ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Gleim; Klopstock; Nicolai; Pfeffel; Spalding; Hinze; Matthison; Overbeck; Klamer Schmidt; Voss.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red spattered edges; spine label. ,1791,Musenalmanach für 1791,Hamburg, C. E. Bohn,,,Humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Cramer; v. Halem; Matthison; Overbeck; Tiege; Gleim; Haug; Nicolay; Klamer Schmidt; Voss.,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; red spattered edges; spine label.,1792,Musenalmanach für 1792,Hamburg, C. E. Bohn,,,Humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Bürde; v. Halem; Jacobi; v. Nicolai; Pfeffel; Gleim; Haug; Matthison; Overbeck; Voss.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red edges; spine label. ,1793,Musenalmanach für 1793,Hamburg, C. E. Bohn,,,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Bürde; v. Halem; Matthison; Pfeffel; Tiege; Gleim; Haug; Overbeck; Schmid K; Voss.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red spattered edges; spine label. ,1794,Musenalmanach für 1794,Hamburg, C. E. Bohn,,,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Conz; Gleim; Jacobi; Matthison; Pfeffel; Ebert; Haug; Klopstock; Overbeck; Voss.,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; spine label. ,1795,Musenalmanach für 1795,Hamburg, C. E. Bohn,,,Calendar ; astrology ; games ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Ebert; Haug; Matthison; Schulthess; Voss; Gleim; Karschin; Pfeffel; Tiege.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; gilt edges; spine label. ,1796,Musenalmanach für 1796,Hamburg, C. E. Bohn,,,Calendar ; humor ; music ; proverbs ; poetry ; stories ; songs.,,"Voss, J. H.",Eschenberg; Gleim; Haug; Pfeffel; Voss; Fischer; Goethe; Overbeck; Klamer Schmidt,Die Liebesgötter auf dem Marrte – not apparent online,,,,,,
PT19.M967,record,,Spattered gray paper over boards; red spattered edges; spine label.,1797,Musenalmanach für 1797,Hamburg, C. E. Bohn,,,Calendar ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Baggesen; v. Halem; Overbeck; v. Salis; Tiedge; Gleim; Haug; Pfeffel; Klamer Schmidt; Voss.,,,,,,,
PT19.M967,record,,Yellow paper over boards; spine label. ,1798,Musenalmanach für 1798,Hamburg, C. E. Bohn,,,Calendar ; dance ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Baggesen; v. Halem; Karschin; Overbeck; Klamer Schmidt; Gleim; Haug; v. Nicolay; Pfeffel; Voss.,,,,,,,
